Feature1,Feature2,Feature3,Feature4,Feature5,Feature6,Feature7,Feature8,Label
4174,59.6429085289663,79.34360512902349,0.9743797381515298,35.118887412284565,82.86484608822987,38.24743096808217,0.18178888453268355,good
4507,24.835083502330086,55.851725492282,0.29867093960750357,45.135189646545314,61.69882569046267,57.26637949461218,0.8692075372458372,good
1860,47.01296049268321,83.80285739040734,0.7606267863303756,18.77231585852546,47.522520954032395,38.10800335166931,0.6675004278182758,good
2294,79.9842055361703,34.276816203309835,0.7863367552247578,29.834471138953354,55.2167662515825,73.9845847045323,0.7725125242355952,good
2130,53.23330736797192,87.27960180199844,0.9363316582065063,40.523423986111354,78.52519044114393,57.70441745845938,0.2884759037396688,good
2095,98.67574455989539,69.28158488588089,0.12749451138404197,23.72981264804072,56.53219402845107,46.31894110615907,0.5833751100310932,good
4772,43.906507294414666,52.804470536232316,0.8848435046023069,12.565315777968314,69.67126750722447,22.325416133250947,0.7634973012141743,good
4092,77.46204699784649,41.82924759437264,0.5745035627558203,26.372793436868673,47.30171840360033,49.97290011228027,0.6645827233092363,good
2638,45.36905040809732,58.75099376661599,0.6692896989692451,7.485013433436281,75.28561825632681,65.88657452750536,0.5245288902020886,good
3169,84.6247798635863,41.67349939111806,0.6800232494089303,47.40725543010246,58.96466103059585,35.933455880744816,0.9638054077939433,bad
1466,61.217332224917286,39.97989646458853,0.8378180244862548,8.366954233773786,77.61810607172299,68.40641417892604,0.7085416001081007,bad
2238,15.71606466310012,67.04110544477845,0.40006658994319944,24.730552186276018,88.50369293824137,35.10840596305289,0.916975720217114,good
1330,13.313968087239225,61.38508347490708,0.759746070873994,28.844656748983677,76.69878516339955,69.42478327704802,0.7567934604163131,good
2482,22.046690692056988,70.2057620766565,0.5757202987499774,49.338672452927845,57.74485375570124,25.116100496700646,0.7619171757379148,good
3135,11.230476834429755,85.77635264531935,0.814054612874813,12.470982063928735,55.34462209289802,71.97102253214177,0.17201644278191142,bad
4444,16.782315431721607,61.93561280034241,0.9914914294931201,10.149418337556135,59.64525752400688,49.951187055999824,0.4235181596685492,good
4171,72.25429574520209,64.85592319576787,0.2805859156633851,5.391776617814461,49.87723079419029,37.792255377215724,0.8725324660476926,good
3919,58.09116475265168,35.37758034929653,0.9951837774039981,12.000714659118604,50.8703110510012,35.90679502490893,0.30934347593388034,good
4735,77.49196745229746,73.05814715451777,0.1808309388544966,14.327284058045043,87.44146611401007,45.920633535821764,0.20395527954081957,bad
1130,92.18491770318785,53.99431240824937,0.10208579311433248,33.376142371239155,63.083954590446695,79.94296988621869,0.3934954509749141,good
2685,62.663457909292475,88.60351431975474,0.13974574256004815,14.886805567613019,66.15971083423514,33.219643606254955,0.29839409640335257,good
4380,75.35087596646633,79.39044093573962,0.40760416426308554,5.923436662819634,75.64296793400867,26.192998932739975,0.9327593753138397,good
1769,78.13730818382103,61.3488624309671,0.6696156976105907,42.19782554761199,75.37920970909286,55.102110123119715,0.881169977801918,good
3391,44.006549434820776,37.393359250329965,0.16212658679906466,21.451806545178506,44.04261229131554,49.312547986415424,0.5497149072546138,good
2515,31.697634909666867,81.56494759683534,0.10509923307661055,20.916350896133025,89.89244718025994,51.451776263798436,0.15520948703548124,bad
4485,28.454079565587243,77.9868657254413,0.9433819256129153,18.611556312556694,50.63959319343637,60.01612505343302,0.7431061114838406,bad
3853,32.62981955606186,41.07510777222198,0.8397339723459367,48.89179747158894,83.38429816298013,36.02864419223896,0.6610705582026382,good
3433,34.72586173233179,47.716697353218606,0.828264854025128,12.655193778917667,86.36025928769,74.63989972303331,0.9734992036556462,bad
2215,28.65048841072508,77.60443548887024,0.8959818479517794,45.42071287789558,82.89397204547882,46.14032396733742,0.6030579162433393,good
1955,89.0398600731273,41.11370679284458,0.7300308454948939,39.95614994629496,74.7386587932487,27.74517170854771,0.4027543510626185,good
3324,78.12992189550059,85.06514935028264,0.1939637167732733,8.441597997469088,40.87653982653297,64.53792540403666,0.5671195242207002,good
2184,14.220682101209793,55.471645511781716,0.4591901692663508,49.40280956753819,61.62252954179024,58.586261157071014,0.9813369622640646,bad
1459,34.18052338227766,35.22233775525952,0.7508345378181666,17.211468359255477,76.29036576175487,38.94460414904223,0.7267261892797274,good
4385,11.996626782727146,78.94491861025685,0.35230101471236885,9.436231716008555,63.24707775535232,57.29112344204291,0.704778524134346,good
1021,54.83486679813036,52.41058098230326,0.7186657277226138,42.31914053565917,91.80879369476878,33.19171738213861,0.31661343075329684,bad
3300,52.85896271101127,61.58995164922686,0.12204860344088712,36.800399015496495,58.52813652097692,46.69036156043177,0.7692422658045559,good
1747,84.82343410562511,36.73826066467315,0.3755236067916339,32.774846264505534,57.61208754751962,73.96475133003952,0.7752446465245946,good
3904,37.69995157939445,30.155040890698942,0.5942173026494554,12.019138866451993,55.95986158555948,28.012053989644965,0.38556008539831477,good
4632,83.47471616917561,68.27911234759786,0.6688808465556181,26.532325231518286,59.966852137647734,43.201786999247716,0.5353424491516419,good
1474,97.11763888958407,60.910510220023895,0.6193365980157197,40.12502120992462,73.44429785885123,69.26854548322083,0.3651429996464105,bad
2082,17.956740102908192,65.61231414738883,0.7279806484660866,18.66307721647281,82.42091765635544,78.16945396437069,0.332834563291858,good
3558,81.26360555226697,77.62463102283098,0.10547987341585517,19.026042283176864,79.75407506432711,47.235568185307756,0.12330646322453664,good
4753,63.09603074238725,68.7963548053716,0.19084707997976935,5.141340772165496,88.46306919888877,50.41997720860084,0.3566905701879989,good
3047,53.20413703166276,40.48640656964263,0.8820498270512306,12.84095307404208,93.15483972984549,54.33031770702618,0.5985729548904474,good
4547,47.84822007985676,51.64635114663599,0.7135737796811451,44.39325313048254,88.96474254060108,75.94088849802264,0.10144106879412595,good
3747,80.62014375498786,84.35346628726562,0.20163847841741017,24.87859212369682,41.136724202461274,71.49240745862178,0.3548971754287007,good
1975,67.54252212768182,76.19668201510073,0.8578669936587213,49.29055246554953,84.15507721311933,30.23606747729866,0.893269299090925,bad
2806,82.45402007674257,63.398223476203036,0.3180080960421102,22.806858360820666,52.5039744170999,46.2054690708245,0.6342837265966248,good
1189,91.28359528089636,45.33869986855634,0.5304338957757011,37.183390465110854,47.97568256247896,47.84002569178558,0.6470765416728824,good
4005,65.55373408875627,48.1236301100877,0.23067686159619427,17.68635693071281,78.30932708794813,67.3457666989254,0.46302787452371796,good
3734,98.24164525831401,73.91748405513808,0.739099050779536,21.371433851342008,59.1845917244617,56.17357295632612,0.70882492914317,good
4005,64.72790645876967,81.07045565116624,0.700168978912841,13.582669441590259,43.4270298022266,59.25322772174078,0.2709394896073233,good
1562,67.29798894600543,70.28548017183687,0.29000122404952255,20.617806582472774,48.25778406390168,79.89199445993705,0.8368721293457725,good
2899,59.93340476880031,78.5717985461065,0.8770606901713016,29.62568841892894,40.05576501219766,24.497602608200783,0.20502020794230985,bad
4638,18.190188194619726,75.99936811202436,0.46117542179774096,49.629779644066225,94.19341764068244,33.38058941202398,0.6904012191877983,good
2267,75.37573293852054,38.98223807741746,0.3632635819636676,34.88907708823035,41.477079030474314,44.47375624229281,0.40703439323771473,good
3879,59.27016762092004,55.43668877479812,0.2370966305180819,13.966067948374132,52.567346170570666,40.86694418293323,0.7727616735242291,good
2528,50.5819402674494,39.179028049713764,0.3395512112639837,7.023264871619801,64.97576684127444,21.298733680819016,0.594788096139418,bad
4202,91.94241505629458,44.114135088119085,0.11982422910143531,10.686041659152977,61.394279557049146,25.50665638827055,0.5071177346308446,good
4556,36.816350638775546,82.15557747906315,0.624931743210504,30.31498405728713,94.70355261476655,60.85719748421457,0.2524801618839223,good
4890,57.12420484135101,58.373517937990925,0.858007671709553,39.43221479675449,42.41733674407253,72.75946780175363,0.6731393178559175,good
1646,72.7877684344117,62.12148611055965,0.5940824044974776,47.318864328533614,70.7328824606231,50.85362067595865,0.9772928590783717,good
3068,81.68245981064895,40.70675791366632,0.29734656573148815,5.712042739856937,80.82876775146244,52.35146477081798,0.8430430824163135,good
3888,51.34121271515552,48.73630716292776,0.13030226039248546,28.52420637028414,95.90187842087013,35.30560596994276,0.15400737333011064,bad
3214,85.78822735168387,43.814770105672196,0.2931652659329226,26.189031030042955,77.22227512742326,66.07258181802268,0.438606440525072,good
2297,79.20259671838578,42.371169871105586,0.47450928526398306,34.52247598890668,88.22531416070576,65.10767524203538,0.9330247082712446,good
3435,15.961238006667926,68.2776475989582,0.7836502858298168,30.181048450940388,45.023496270720905,55.3019413530594,0.5527393728013192,good
1600,14.127513976416965,45.413030858742886,0.2690585672839967,35.91676177621163,63.15637065621564,32.75985719068057,0.6959006432273612,good
3363,65.87251159798822,67.9209291612251,0.7478123080192175,34.61371631371357,62.43682806874405,25.82109309422537,0.9213394110322514,good
3061,41.26720674028728,33.507276846513236,0.8802401215166953,10.265527618607578,93.17729298734307,23.854314551427553,0.8864152213778926,good
1241,28.821771197066276,38.50646361162611,0.5085521632975214,40.98730611284238,49.082270275796496,55.561763998572665,0.5516383379864599,good
3041,62.16849410245646,46.47241524000752,0.839288792478334,10.545465907234618,49.11317034019781,69.502119148568,0.4938816723918419,good
3824,40.740688941089054,65.82281501374149,0.5991916132315861,36.433878134411174,59.713488993147905,71.49982590685549,0.4057233566316284,good
4417,58.3537075042663,70.55047470524255,0.6733817533728145,23.726541543827302,43.267962842010256,47.81732446060699,0.7471174988466021,good
3612,51.41072430852148,56.56301800677163,0.5736506143043825,28.123283055946906,50.947482439149404,67.05627795840302,0.358288119524389,bad
3945,62.62894953542383,56.74745487463374,0.5168554450762076,45.648410646906974,97.9125783127441,76.81281178046142,0.32489884578781014,good
2363,46.027044001925326,73.47101108391709,0.31118809759826443,45.044767691306895,65.69103639203037,36.51020674928408,0.4206249051434021,good
3139,72.79008163272385,30.949265505934946,0.3728746535149414,41.80353375447633,77.92115250534619,43.877620782845426,0.25949355119091283,bad
2390,26.206054511436868,50.46540146845324,0.3609731070492481,27.956677120534547,83.56667556067822,75.88873955580084,0.7256078343511906,good
4003,72.6851319604371,79.12242342715396,0.6069600378584332,38.13079145602249,62.01768442043203,40.29385803903709,0.6546165843975511,bad
2478,47.04950929217753,66.19316461280233,0.20795832372150092,28.080367498346423,48.833624464631015,74.83257741930777,0.5345906807042592,bad
4499,88.68858443689754,50.233627965325226,0.9251125216321016,44.13227371136499,52.39486097330685,78.86269173526794,0.4512932013353992,bad
3556,56.371244937778975,84.33148753978043,0.7485896307548019,23.124912495480494,58.79598859483662,59.70864371446548,0.9181562886070583,bad
1775,97.57993143430939,76.35736364696295,0.4613010678218743,48.66059049866946,78.16410522113354,69.0134173702501,0.12621140649019477,good
1034,64.17418559868642,45.893726834204,0.2427617300737402,46.95452412029949,63.89683294534326,64.97273385326511,0.7921969691565692,good
3253,30.146415931568853,68.71739025154301,0.8937929527494722,38.372117875330346,40.40888187400769,61.97205545693143,0.9117186145739998,good
4152,83.96115731600042,65.7450436913374,0.8414002810910487,17.57371478792324,71.40443110404831,38.415864378873955,0.5017191214869334,good
2955,41.0574365040148,54.071274842338966,0.7495493974454613,10.924411495696628,95.29080351444507,23.425660274476623,0.595621442323582,good
2585,41.285729303441514,52.01736475228804,0.34439234267011815,43.461655254193886,88.72465666052074,40.58310395117904,0.9500173190938341,good
4943,12.862421333664862,50.61362848654224,0.462201973690302,12.438602876208257,89.51268227557787,60.0161591122344,0.291049763756963,good
4459,59.38437782866678,67.0293470037388,0.19247342720718102,43.44173550488011,87.70348105636788,26.151751893668084,0.5681213630062164,bad
4073,58.09811533592707,56.544596188840174,0.2701355722547786,27.08442530205622,59.42384953662542,20.715078978694525,0.5272490144153916,bad
2021,42.03923358447875,79.91178679508532,0.8047149735850596,23.29505527136469,85.91163002526352,28.38154235617632,0.3325533830833331,bad
4461,90.47955366063331,70.17615696803772,0.7435348469656154,45.64358504754931,48.58968146867158,62.94415558464772,0.8367339073357971,good
3613,21.587355846967952,34.195896342566044,0.6341371866783412,32.173294214312506,79.46296883655721,78.36762209938664,0.9096405352869122,bad
2129,39.70895619791399,68.41009342968997,0.9061540533335556,30.9476303208373,78.49411400109966,78.98388197688922,0.803739321809388,bad
4843,38.94244882120261,46.26884619001109,0.6249398660317409,30.144467508097893,41.53418794538408,49.638748948411276,0.2758230647637475,good
4893,18.306152760587146,65.56871949920536,0.5202711999672497,21.702628220878914,87.2782080154559,72.16113805954085,0.1780737719512434,good
2500,53.30308546506639,70.80791586620708,0.4063336716751864,40.353939658810724,94.19488630570783,64.20958734509024,0.6449000367748081,bad
